"Name","Unemployment Rate "
"Description","Individuals 16 years and older actively seeking employment (within the last four weeks) who are unemployed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table C23001 (2005-2013), Table S2301 (2014-2019);&nbsp; retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
Concourse/Highbridge,2009,Percent,0.14458,204
Unionport/Soundview,2009,Percent,0.11855,209
Mott Haven,2009,Percent,0.18754,201
Hunts Point,2009,Percent,0.18754,202
Washington Heights,2009,Percent,0.15805,112
Manhattanville,2009,Percent,0.09562,109
Central Harlem,2009,Percent,0.13072,110
East Harlem,2009,Percent,0.16207,111
Upper East Side,2009,Percent,0.06251,108
Upper West Side,2009,Percent,0.06634,107
Chelsea/Clinton,2009,Percent,0.09495,104
Midtown Business District,2009,Percent,0.09495,105
Murray Hill/Stuyvesant,2009,Percent,0.09009,106
Lower East Side,2009,Percent,0.09279,103
Battery Park/Tribeca,2009,Percent,0.07583,101
Greenwich Village,2009,Percent,0.07583,102
Tottenville,2009,Percent,0.05958,503
South Beach,2009,Percent,0.0729,502
St. George,2009,Percent,0.07865,501
Williamsburg/Greenpoint,2009,Percent,0.06205,301
Bushwick,2009,Percent,0.10368,304
Bedford Stuyvesant,2009,Percent,0.11367,303
Fort Greene/Brooklyn Hts,2009,Percent,0.09646,302
Park Slope,2009,Percent,0.08646,306
Crown Heights North,2009,Percent,0.10834,308
Brownsville,2009,Percent,0.12304,316
East New York,2009,Percent,0.11462,305
Canarsie,2009,Percent,0.07377,318
East Flatbush,2009,Percent,0.11919,317
Crown Heights South,2009,Percent,0.13301,309
Sunset Park,2009,Percent,0.11226,307
Bay Ridge,2009,Percent,0.106,310
Borough Park,2009,Percent,0.09781,312
Flatbush/Midwood,2009,Percent,0.10467,314
Sheepshead Bay,2009,Percent,0.07587,315
Bensonhurst,2009,Percent,0.09838,311
Coney Island,2009,Percent,0.09552,313
Astoria,2009,Percent,0.10498,401
Jackson Heights,2009,Percent,0.09198,403
Flushing,2009,Percent,0.1021,407
Bayside,2009,Percent,0.08453,411
Queens Village,2009,Percent,0.08256,413
Fresh Meadows/Briarwood,2009,Percent,0.10924,408
Elmhurst/Corona,2009,Percent,0.08307,404
Rego Park/Forest Hills,2009,Percent,0.08431,406
Sunnyside/Woodside,2009,Percent,0.0633,402
Ridgewood/Glendale,2009,Percent,0.08021,405
Woodhaven,2009,Percent,0.11727,409
Jamaica/St. Albans,2009,Percent,0.14533,412
Howard Beach,2009,Percent,0.10087,410
The Rockaways,2009,Percent,0.1119,414
New York City,2009,Percent,0.10211,3651000
Bronx,2010,Percent,0.1578,36005
Brooklyn,2010,Percent,0.1088,36047
Manhattan,2010,Percent,0.09173,36061
Queens,2010,Percent,0.11104,36081
Staten Island,2010,Percent,0.09093,36085
Riverdale,2010,Percent,0.13958,208
Williamsbridge,2010,Percent,0.15876,212
Throgs Neck,2010,Percent,0.10788,210
Pelham Parkway,2010,Percent,0.1385,211
Morrisania,2010,Percent,0.17093,203
East Tremont,2010,Percent,0.17093,206
Bedford Park,2010,Percent,0.17634,207
University Heights,2010,Percent,0.23586,205
Concourse/Highbridge,2010,Percent,0.15755,204
Unionport/Soundview,2010,Percent,0.11228,209
Mott Haven,2010,Percent,0.19058,201
Hunts Point,2010,Percent,0.19058,202
Washington Heights,2010,Percent,0.13666,112
Manhattanville,2010,Percent,0.09441,109
Central Harlem,2010,Percent,0.15885,110
East Harlem,2010,Percent,0.14768,111
Upper East Side,2010,Percent,0.05975,108
Upper West Side,2010,Percent,0.07463,107
Chelsea/Clinton,2010,Percent,0.08291,104
Midtown Business District,2010,Percent,0.08291,105
Murray Hill/Stuyvesant,2010,Percent,0.06533,106
Lower East Side,2010,Percent,0.10102,103
Battery Park/Tribeca,2010,Percent,0.06084,101
Greenwich Village,2010,Percent,0.06084,102
Tottenville,2010,Percent,0.0873,503
South Beach,2010,Percent,0.08226,502
St. George,2010,Percent,0.10111,501
Williamsburg/Greenpoint,2010,Percent,0.08216,301
Bushwick,2010,Percent,0.10216,304
Bedford Stuyvesant,2010,Percent,0.12857,303
Fort Greene/Brooklyn Hts,2010,Percent,0.1038,302
Park Slope,2010,Percent,0.07892,306
Crown Heights North,2010,Percent,0.10122,308
Brownsville,2010,Percent,0.15592,316
East New York,2010,Percent,0.12304,305
Canarsie,2010,Percent,0.08294,318
East Flatbush,2010,Percent,0.12766,317
Crown Heights South,2010,Percent,0.20201,309
Sunset Park,2010,Percent,0.12871,307
Bay Ridge,2010,Percent,0.09176,310
Borough Park,2010,Percent,0.08162,312
Flatbush/Midwood,2010,Percent,0.11135,314
Sheepshead Bay,2010,Percent,0.09021,315
Bensonhurst,2010,Percent,0.08596,311
Coney Island,2010,Percent,0.14449,313
Astoria,2010,Percent,0.13004,401
Jackson Heights,2010,Percent,0.10337,403
Flushing,2010,Percent,0.11568,407
Bayside,2010,Percent,0.09647,411
Queens Village,2010,Percent,0.1015,413
Fresh Meadows/Briarwood,2010,Percent,0.12723,408
Elmhurst/Corona,2010,Percent,0.08456,404
Rego Park/Forest Hills,2010,Percent,0.0886,406
Sunnyside/Woodside,2010,Percent,0.07414,402
Ridgewood/Glendale,2010,Percent,0.0795,405
Woodhaven,2010,Percent,0.13273,409
Jamaica/St. Albans,2010,Percent,0.15533,412
Howard Beach,2010,Percent,0.10155,410
The Rockaways,2010,Percent,0.14236,414
New York City,2010,Percent,0.11204,3651000
Bronx,2011,Percent,0.16316,36005
Brooklyn,2011,Percent,0.1202,36047
Manhattan,2011,Percent,0.08969,36061
Queens,2011,Percent,0.09965,36081
Staten Island,2011,Percent,0.0826,36085
Riverdale,2011,Percent,0.12312,208
Williamsbridge,2011,Percent,0.15971,212
Throgs Neck,2011,Percent,0.1219,210
Pelham Parkway,2011,Percent,0.14715,211
Morrisania,2011,Percent,0.20963,203
East Tremont,2011,Percent,0.20963,206
Bedford Park,2011,Percent,0.16698,207
University Heights,2011,Percent,0.20162,205
Concourse/Highbridge,2011,Percent,0.19195,204
Unionport/Soundview,2011,Percent,0.11529,209
Mott Haven,2011,Percent,0.19975,201
Hunts Point,2011,Percent,0.19975,202
Washington Heights,2011,Percent,0.16148,112
Manhattanville,2011,Percent,0.10605,109
Central Harlem,2011,Percent,0.15441,110
East Harlem,2011,Percent,0.13531,111
Upper East Side,2011,Percent,0.05829,108
Upper West Side,2011,Percent,0.06432,107
Chelsea/Clinton,2011,Percent,0.0818,104
Midtown Business District,2011,Percent,0.0818,105
Murray Hill/Stuyvesant,2011,Percent,0.069,106
Lower East Side,2011,Percent,0.06741,103
Battery Park/Tribeca,2011,Percent,0.04824,101
Greenwich Village,2011,Percent,0.04824,102
Tottenville,2011,Percent,0.07481,503
South Beach,2011,Percent,0.06628,502
St. George,2011,Percent,0.10401,501
Williamsburg/Greenpoint,2011,Percent,0.08663,301
Bushwick,2011,Percent,0.14682,304
Bedford Stuyvesant,2011,Percent,0.18523,303
Fort Greene/Brooklyn Hts,2011,Percent,0.11769,302
Park Slope,2011,Percent,0.08516,306
Crown Heights North,2011,Percent,0.14405,308
Brownsville,2011,Percent,0.18836,316
East New York,2011,Percent,0.13117,305
Canarsie,2011,Percent,0.12344,318
East Flatbush,2011,Percent,0.13446,317
Crown Heights South,2011,Percent,0.17375,309
Sunset Park,2011,Percent,0.08533,307
Bay Ridge,2011,Percent,0.09838,310
Borough Park,2011,Percent,0.07714,312
Flatbush/Midwood,2011,Percent,0.11151,314
Sheepshead Bay,2011,Percent,0.08971,315
Bensonhurst,2011,Percent,0.1034,311
Coney Island,2011,Percent,0.12819,313
Astoria,2011,Percent,0.10915,401
Jackson Heights,2011,Percent,0.08225,403
Flushing,2011,Percent,0.10154,407
Bayside,2011,Percent,0.08457,411
Queens Village,2011,Percent,0.09792,413
Fresh Meadows/Briarwood,2011,Percent,0.115,408
Elmhurst/Corona,2011,Percent,0.04702,404
Rego Park/Forest Hills,2011,Percent,0.06153,406
Sunnyside/Woodside,2011,Percent,0.07245,402
Ridgewood/Glendale,2011,Percent,0.09383,405
Woodhaven,2011,Percent,0.11673,409
Jamaica/St. Albans,2011,Percent,0.14917,412
Howard Beach,2011,Percent,0.11118,410
The Rockaways,2011,Percent,0.12478,414
New York City,2011,Percent,0.11226,3651000
Bronx,2012,Percent,0.15501,36005
Brooklyn,2012,Percent,0.11122,36047
Manhattan,2012,Percent,0.08816,36061
Queens,2012,Percent,0.09609,36081
Staten Island,2012,Percent,0.07171,36085
Riverdale,2012,Percent,0.09946,208
Williamsbridge,2012,Percent,0.15685,212
Throgs Neck,2012,Percent,0.1163,210
Pelham Parkway,2012,Percent,0.15845,211
Morrisania,2012,Percent,0.20878,203
East Tremont,2012,Percent,0.20878,206
Bedford Park,2012,Percent,0.14453,207
University Heights,2012,Percent,0.17936,205
Concourse/Highbridge,2012,Percent,0.18183,204
Unionport/Soundview,2012,Percent,0.13882,209
Mott Haven,2012,Percent,0.15967,201
Hunts Point,2012,Percent,0.15967,202
Washington Heights,2012,Percent,0.1712,112
Manhattanville,2012,Percent,0.11692,109
Central Harlem,2012,Percent,0.13494,110
East Harlem,2012,Percent,0.08559,111
Upper East Side,2012,Percent,0.0599,108
Upper West Side,2012,Percent,0.06796,107
Chelsea/Clinton,2012,Percent,0.07245,104
Midtown Business District,2012,Percent,0.07245,105
Murray Hill/Stuyvesant,2012,Percent,0.05523,106
Lower East Side,2012,Percent,0.091,103
Battery Park/Tribeca,2012,Percent,0.04632,101
Greenwich Village,2012,Percent,0.04632,102
Tottenville,2012,Percent,0.06977,503
South Beach,2012,Percent,0.06517,502
St. George,2012,Percent,0.07858,501
Williamsburg/Greenpoint,2012,Percent,0.06122,301
Bushwick,2012,Percent,0.17453,304
Bedford Stuyvesant,2012,Percent,0.15589,303
Fort Greene/Brooklyn Hts,2012,Percent,0.08524,302
Park Slope,2012,Percent,0.07414,306
Crown Heights North,2012,Percent,0.12731,308
Brownsville,2012,Percent,0.12709,316
East New York,2012,Percent,0.15301,305
Canarsie,2012,Percent,0.11431,318
East Flatbush,2012,Percent,0.12209,317
Crown Heights South,2012,Percent,0.13243,309
Sunset Park,2012,Percent,0.10468,307
Bay Ridge,2012,Percent,0.0824,310
Borough Park,2012,Percent,0.06908,312
Flatbush/Midwood,2012,Percent,0.09919,314
Sheepshead Bay,2012,Percent,0.10758,315
Bensonhurst,2012,Percent,0.11162,311
Coney Island,2012,Percent,0.11764,313
Astoria,2012,Percent,0.07828,401
Jackson Heights,2012,Percent,0.08889,403
Flushing,2012,Percent,0.09505,407
Bayside,2012,Percent,0.07934,411
Queens Village,2012,Percent,0.10632,413
Fresh Meadows/Briarwood,2012,Percent,0.09953,408
Elmhurst/Corona,2012,Percent,0.0808,404
Rego Park/Forest Hills,2012,Percent,0.06174,406
Sunnyside/Woodside,2012,Percent,0.07407,402
Ridgewood/Glendale,2012,Percent,0.07832,405
Woodhaven,2012,Percent,0.10194,409
Jamaica/St. Albans,2012,Percent,0.13951,412
Howard Beach,2012,Percent,0.11501,410
The Rockaways,2012,Percent,0.12519,414
New York City,2012,Percent,0.10635,3651000
Bronx,2013,Percent,0.14597,36005
Brooklyn,2013,Percent,0.10398,36047
Manhattan,2013,Percent,0.07493,36061
Queens,2013,Percent,0.08904,36081
Staten Island,2013,Percent,0.07328,36085
Riverdale,2013,Percent,0.11892,208
Williamsbridge,2013,Percent,0.14543,212
Throgs Neck,2013,Percent,0.0887,210
Pelham Parkway,2013,Percent,0.13249,211
Morrisania,2013,Percent,0.17785,203
East Tremont,2013,Percent,0.17785,206
Bedford Park,2013,Percent,0.17795,207
University Heights,2013,Percent,0.15686,205
Concourse/Highbridge,2013,Percent,0.14862,204
Unionport/Soundview,2013,Percent,0.16958,209
Mott Haven,2013,Percent,0.12273,201
Hunts Point,2013,Percent,0.12273,202
Washington Heights,2013,Percent,0.13584,112
Manhattanville,2013,Percent,0.07819,109
Central Harlem,2013,Percent,0.10718,110
East Harlem,2013,Percent,0.13351,111
Upper East Side,2013,Percent,0.03452,108
Upper West Side,2013,Percent,0.06647,107
Chelsea/Clinton,2013,Percent,0.0645,104
Midtown Business District,2013,Percent,0.0645,105
Murray Hill/Stuyvesant,2013,Percent,0.03095,106
Lower East Side,2013,Percent,0.10817,103
Battery Park/Tribeca,2013,Percent,0.042,101
Greenwich Village,2013,Percent,0.042,102
Tottenville,2013,Percent,0.06494,503
South Beach,2013,Percent,0.07162,502
St. George,2013,Percent,0.08293,501
Williamsburg/Greenpoint,2013,Percent,0.06466,301
Bushwick,2013,Percent,0.15244,304
Bedford Stuyvesant,2013,Percent,0.15493,303
Fort Greene/Brooklyn Hts,2013,Percent,0.09038,302
Park Slope,2013,Percent,0.04726,306
Crown Heights North,2013,Percent,0.08853,308
Brownsville,2013,Percent,0.15715,316
East New York,2013,Percent,0.12661,305
Canarsie,2013,Percent,0.09377,318
East Flatbush,2013,Percent,0.11312,317
Crown Heights South,2013,Percent,0.14248,309
Sunset Park,2013,Percent,0.10631,307
Bay Ridge,2013,Percent,0.09451,310
Borough Park,2013,Percent,0.07162,312
Flatbush/Midwood,2013,Percent,0.10125,314
Sheepshead Bay,2013,Percent,0.08337,315
Bensonhurst,2013,Percent,0.09394,311
Coney Island,2013,Percent,0.12693,313
Astoria,2013,Percent,0.09626,401
Jackson Heights,2013,Percent,0.06922,403
Flushing,2013,Percent,0.06918,407
Bayside,2013,Percent,0.06652,411
Queens Village,2013,Percent,0.09631,413
Fresh Meadows/Briarwood,2013,Percent,0.09242,408
Elmhurst/Corona,2013,Percent,0.0698,404
Rego Park/Forest Hills,2013,Percent,0.06531,406
Sunnyside/Woodside,2013,Percent,0.05741,402
Ridgewood/Glendale,2013,Percent,0.08206,405
Woodhaven,2013,Percent,0.08802,409
Jamaica/St. Albans,2013,Percent,0.14755,412
Howard Beach,2013,Percent,0.13305,410
The Rockaways,2013,Percent,0.07877,414
New York City,2013,Percent,0.09809,3651000
New York City,2014,Percent,0.083,3651000
Bronx,2014,Percent,0.119,36005
Brooklyn,2014,Percent,0.086,36047
Manhattan,2014,Percent,0.066,36061
Queens,2014,Percent,0.077,36081
Staten Island,2014,Percent,0.062,36085
Riverdale,2014,Percent,0.098,208
Williamsbridge,2014,Percent,0.136,212
Throgs Neck,2014,Percent,0.074,210
Pelham Parkway,2014,Percent,0.105,211
Morrisania,2014,Percent,0.139,203
East Tremont,2014,Percent,0.139,206
Bedford Park,2014,Percent,0.135,207
University Heights,2014,Percent,0.121,205
Concourse/Highbridge,2014,Percent,0.109,204
Unionport/Soundview,2014,Percent,0.143,209
Mott Haven,2014,Percent,0.11,201
Hunts Point,2014,Percent,0.11,202
Washington Heights,2014,Percent,0.117,112
Manhattanville,2014,Percent,0.075,109
Central Harlem,2014,Percent,0.13,110
East Harlem,2014,Percent,0.107,111
Upper East Side,2014,Percent,0.03,108
Upper West Side,2014,Percent,0.044,107
Chelsea/Clinton,2014,Percent,0.051,104
Midtown Business District,2014,Percent,0.051,105
Murray Hill/Stuyvesant,2014,Percent,0.041,106
Lower East Side,2014,Percent,0.067,103
Battery Park/Tribeca,2014,Percent,0.044,101
Greenwich Village,2014,Percent,0.044,102
Tottenville,2014,Percent,0.056,503
South Beach,2014,Percent,0.059,502
St. George,2014,Percent,0.069,501
Williamsburg/Greenpoint,2014,Percent,0.064,301
Bushwick,2014,Percent,0.135,304
Bedford Stuyvesant,2014,Percent,0.125,303
Fort Greene/Brooklyn Hts,2014,Percent,0.085,302
Park Slope,2014,Percent,0.068,306
