"Name","Graduation Rate by Economic Status"
"Description","New York City public high school students who graduated as of June after four years of instruction."
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0""."

Location,Economic Status,TimeFrame,DataFormat,Data,Fips
"Bayside, Douglaston, Little Neck",Economically Disadvantaged,2009,Percent,0.78475,SD26
"Bayside, Douglaston, Little Neck",Not Economically Disadvantaged,2009,Percent,0.74689,SD26
"Jamaica, Howard Beach, Rockaways",Economically Disadvantaged,2009,Percent,0.4836,SD27
"Jamaica, Howard Beach, Rockaways",Not Economically Disadvantaged,2009,Percent,0.3354,SD27
"Jamaica, Forest Hills",Economically Disadvantaged,2009,Percent,0.75667,SD28
"Jamaica, Forest Hills",Not Economically Disadvantaged,2009,Percent,0.67735,SD28
"Queens Village, Rosedale, Hollis",Economically Disadvantaged,2009,Percent,0.71069,SD29
"Queens Village, Rosedale, Hollis",Not Economically Disadvantaged,2009,Percent,0.48781,SD29
"Long Island City, Astoria",Economically Disadvantaged,2009,Percent,0.60564,SD30
"Long Island City, Astoria",Not Economically Disadvantaged,2009,Percent,0.32578,SD30
Staten Island,Economically Disadvantaged,2009,Percent,0.63042,SD31
Staten Island,Not Economically Disadvantaged,2009,Percent,0.73589,SD31
Manhattan,Economically Disadvantaged,2009,Percent,0.6264,36061
Bronx,Economically Disadvantaged,2009,Percent,0.56399,36005
Brooklyn,Economically Disadvantaged,2009,Percent,0.58857,36047
Queens,Economically Disadvantaged,2009,Percent,0.63261,36081
Staten Island,Economically Disadvantaged,2009,Percent,0.63042,36085
Manhattan,Not Economically Disadvantaged,2009,Percent,0.65204,36061
Bronx,Not Economically Disadvantaged,2009,Percent,0.50693,36005
Brooklyn,Not Economically Disadvantaged,2009,Percent,0.54606,36047
Queens,Not Economically Disadvantaged,2009,Percent,0.59464,36081
Staten Island,Not Economically Disadvantaged,2009,Percent,0.73589,36085
Brooklyn,Economically Disadvantaged,2006,Percent,0.49049,36047
Manhattan,Economically Disadvantaged,2006,Percent,0.60072,36061
Staten Island,Economically Disadvantaged,2006,Percent,0.56892,36085
Bronx,Economically Disadvantaged,2006,Percent,0.50079,36005
Queens,Economically Disadvantaged,2006,Percent,0.54725,36081
Manhattan,Economically Disadvantaged,2007,Percent,0.59529,36061
Queens,Economically Disadvantaged,2007,Percent,0.64402,36081
Brooklyn,Economically Disadvantaged,2007,Percent,0.60555,36047
Staten Island,Economically Disadvantaged,2007,Percent,0.65987,36085
Bronx,Economically Disadvantaged,2007,Percent,0.52514,36005
Queens,Economically Disadvantaged,2008,Percent,0.5766,36081
Bronx,Economically Disadvantaged,2008,Percent,0.54404,36005
Manhattan,Economically Disadvantaged,2008,Percent,0.58014,36061
Brooklyn,Economically Disadvantaged,2008,Percent,0.55855,36047
Staten Island,Economically Disadvantaged,2008,Percent,0.59387,36085
Queens,Not Economically Disadvantaged,2006,Percent,0.5645,36081
Bronx,Not Economically Disadvantaged,2006,Percent,0.36769,36005
Staten Island,Not Economically Disadvantaged,2006,Percent,0.71441,36085
Manhattan,Not Economically Disadvantaged,2006,Percent,0.54825,36061
Brooklyn,Not Economically Disadvantaged,2006,Percent,0.53985,36047
Bronx,Not Economically Disadvantaged,2007,Percent,0.42068,36005
Staten Island,Not Economically Disadvantaged,2007,Percent,0.70194,36085
Manhattan,Not Economically Disadvantaged,2007,Percent,0.51473,36061
Brooklyn,Not Economically Disadvantaged,2007,Percent,0.43822,36047
Queens,Not Economically Disadvantaged,2007,Percent,0.52716,36081
Brooklyn,Not Economically Disadvantaged,2008,Percent,0.58462,36047
Queens,Not Economically Disadvantaged,2008,Percent,0.63016,36081
Bronx,Not Economically Disadvantaged,2008,Percent,0.54072,36005
Staten Island,Not Economically Disadvantaged,2008,Percent,0.73579,36085
Manhattan,Not Economically Disadvantaged,2008,Percent,0.63434,36061
Lower East Side,Economically Disadvantaged,2006,Percent,0.51154,SD1
Lower East Side,Economically Disadvantaged,2007,Percent,0.51319,SD1
Lower East Side,Economically Disadvantaged,2008,Percent,0.57486,SD1
Lower East Side,Not Economically Disadvantaged,2006,Percent,0.65289,SD1
Lower East Side,Not Economically Disadvantaged,2007,Percent,0.6129,SD1
Lower East Side,Not Economically Disadvantaged,2008,Percent,0.73954,SD1
"Stuyvesant Town, Upper E. Side",Economically Disadvantaged,2006,Percent,0.59915,SD2
"Stuyvesant Town, Upper E. Side",Economically Disadvantaged,2007,Percent,0.56909,SD2
"Stuyvesant Town, Upper E. Side",Economically Disadvantaged,2008,Percent,0.57218,SD2
"Stuyvesant Town, Upper E. Side",Not Economically Disadvantaged,2006,Percent,0.54535,SD2
"Stuyvesant Town, Upper E. Side",Not Economically Disadvantaged,2007,Percent,0.49581,SD2
"Stuyvesant Town, Upper E. Side",Not Economically Disadvantaged,2008,Percent,0.60826,SD2
Upper West Side,Economically Disadvantaged,2006,Percent,0.58719,SD3
Upper West Side,Economically Disadvantaged,2007,Percent,0.54706,SD3
Upper West Side,Economically Disadvantaged,2008,Percent,0.54989,SD3
Upper West Side,Not Economically Disadvantaged,2006,Percent,0.74265,SD3
Upper West Side,Not Economically Disadvantaged,2007,Percent,0.63862,SD3
Upper West Side,Not Economically Disadvantaged,2008,Percent,0.72427,SD3
East Harlem,Economically Disadvantaged,2006,Percent,0.70661,SD4
East Harlem,Economically Disadvantaged,2007,Percent,0.74832,SD4
East Harlem,Economically Disadvantaged,2008,Percent,0.65699,SD4
East Harlem,Not Economically Disadvantaged,2006,Percent,0.26897,SD4
East Harlem,Not Economically Disadvantaged,2007,Percent,0.23529,SD4
East Harlem,Not Economically Disadvantaged,2008,Percent,0.5814,SD4
Central Harlem,Economically Disadvantaged,2006,Percent,0.69122,SD5
Central Harlem,Economically Disadvantaged,2007,Percent,0.68798,SD5
Central Harlem,Economically Disadvantaged,2008,Percent,0.52442,SD5
Central Harlem,Not Economically Disadvantaged,2006,Percent,0.12698,SD5
Central Harlem,Not Economically Disadvantaged,2007,Percent,0.16279,SD5
Central Harlem,Not Economically Disadvantaged,2008,Percent,0.63881,SD5
Washington Heights,Economically Disadvantaged,2006,Percent,0.63665,SD6
Washington Heights,Economically Disadvantaged,2007,Percent,0.68708,SD6
Washington Heights,Economically Disadvantaged,2008,Percent,0.65459,SD6
Washington Heights,Not Economically Disadvantaged,2006,Percent,0.17347,SD6
Washington Heights,Not Economically Disadvantaged,2007,Percent,0.45753,SD6
Washington Heights,Not Economically Disadvantaged,2008,Percent,0.44649,SD6
Mott Haven,Economically Disadvantaged,2006,Percent,0.62591,SD7
Mott Haven,Economically Disadvantaged,2007,Percent,0.58683,SD7
Mott Haven,Economically Disadvantaged,2008,Percent,0.54423,SD7
Mott Haven,Not Economically Disadvantaged,2006,Percent,0.20179,SD7
Mott Haven,Not Economically Disadvantaged,2007,Percent,0.34768,SD7
Mott Haven,Not Economically Disadvantaged,2008,Percent,0.48328,SD7
"Hunts Point, Port Morris",Economically Disadvantaged,2006,Percent,0.4586,SD8
"Hunts Point, Port Morris",Economically Disadvantaged,2007,Percent,0.41936,SD8
"Hunts Point, Port Morris",Economically Disadvantaged,2008,Percent,0.4201,SD8
"Hunts Point, Port Morris",Not Economically Disadvantaged,2006,Percent,0.24383,SD8
"Hunts Point, Port Morris",Not Economically Disadvantaged,2007,Percent,0.29433,SD8
"Hunts Point, Port Morris",Not Economically Disadvantaged,2008,Percent,0.33538,SD8
"East Tremont, Morris Heights",Economically Disadvantaged,2006,Percent,0.4375,SD9
"East Tremont, Morris Heights",Economically Disadvantaged,2007,Percent,0.51474,SD9
"East Tremont, Morris Heights",Economically Disadvantaged,2008,Percent,0.62776,SD9
"East Tremont, Morris Heights",Not Economically Disadvantaged,2006,Percent,0.4127,SD9
"East Tremont, Morris Heights",Not Economically Disadvantaged,2007,Percent,0.335,SD9
"East Tremont, Morris Heights",Not Economically Disadvantaged,2008,Percent,0.46429,SD9
"Riverdale, Kingsbridge, Fordham",Economically Disadvantaged,2006,Percent,0.48699,SD10
"Riverdale, Kingsbridge, Fordham",Economically Disadvantaged,2007,Percent,0.52779,SD10
"Riverdale, Kingsbridge, Fordham",Economically Disadvantaged,2008,Percent,0.55456,SD10
"Riverdale, Kingsbridge, Fordham",Not Economically Disadvantaged,2006,Percent,0.43844,SD10
"Riverdale, Kingsbridge, Fordham",Not Economically Disadvantaged,2007,Percent,0.50613,SD10
"Riverdale, Kingsbridge, Fordham",Not Economically Disadvantaged,2008,Percent,0.63792,SD10
"Eastchester, Baychester, Co-op City",Economically Disadvantaged,2006,Percent,0.51041,SD11
"Eastchester, Baychester, Co-op City",Economically Disadvantaged,2007,Percent,0.54598,SD11
"Eastchester, Baychester, Co-op City",Economically Disadvantaged,2008,Percent,0.59788,SD11
"Eastchester, Baychester, Co-op City",Not Economically Disadvantaged,2006,Percent,0.33421,SD11
"Eastchester, Baychester, Co-op City",Not Economically Disadvantaged,2007,Percent,0.41684,SD11
"Eastchester, Baychester, Co-op City",Not Economically Disadvantaged,2008,Percent,0.54265,SD11
"Crotona Park, Morrisania, Melrose",Economically Disadvantaged,2006,Percent,0.37002,SD12
"Crotona Park, Morrisania, Melrose",Economically Disadvantaged,2007,Percent,0.45,SD12
"Crotona Park, Morrisania, Melrose",Economically Disadvantaged,2008,Percent,0.45797,SD12
"Crotona Park, Morrisania, Melrose",Not Economically Disadvantaged,2006,Percent,0.32889,SD12
"Crotona Park, Morrisania, Melrose",Not Economically Disadvantaged,2007,Percent,0.11039,SD12
"Crotona Park, Morrisania, Melrose",Not Economically Disadvantaged,2008,Percent,0.29452,SD12
"Brooklyn Hts, Downtown Brooklyn",Economically Disadvantaged,2006,Percent,0.72475,SD13
"Brooklyn Hts, Downtown Brooklyn",Economically Disadvantaged,2007,Percent,0.76471,SD13
"Brooklyn Hts, Downtown Brooklyn",Economically Disadvantaged,2008,Percent,0.76404,SD13
"Brooklyn Hts, Downtown Brooklyn",Not Economically Disadvantaged,2006,Percent,0.78749,SD13
"Brooklyn Hts, Downtown Brooklyn",Not Economically Disadvantaged,2007,Percent,0.7021,SD13
"Brooklyn Hts, Downtown Brooklyn",Not Economically Disadvantaged,2008,Percent,0.77726,SD13
"Williamsburg, Greenpoint",Economically Disadvantaged,2006,Percent,0.56473,SD14
"Williamsburg, Greenpoint",Economically Disadvantaged,2007,Percent,0.60029,SD14
"Williamsburg, Greenpoint",Economically Disadvantaged,2008,Percent,0.65886,SD14
"Williamsburg, Greenpoint",Not Economically Disadvantaged,2006,Percent,0.42779,SD14
"Williamsburg, Greenpoint",Not Economically Disadvantaged,2007,Percent,0.3777,SD14
"Williamsburg, Greenpoint",Not Economically Disadvantaged,2008,Percent,0.48029,SD14
"S. Brooklyn, Park Slope, Sunset Park",Economically Disadvantaged,2006,Percent,0.41528,SD15
"S. Brooklyn, Park Slope, Sunset Park",Economically Disadvantaged,2007,Percent,0.43989,SD15
"S. Brooklyn, Park Slope, Sunset Park",Economically Disadvantaged,2008,Percent,0.47881,SD15
"S. Brooklyn, Park Slope, Sunset Park",Not Economically Disadvantaged,2006,Percent,0.3467,SD15
"S. Brooklyn, Park Slope, Sunset Park",Not Economically Disadvantaged,2007,Percent,0.35772,SD15
"S. Brooklyn, Park Slope, Sunset Park",Not Economically Disadvantaged,2008,Percent,0.42588,SD15
Bedford Stuyvesant,Economically Disadvantaged,2006,Percent,0.29658,SD16
Bedford Stuyvesant,Economically Disadvantaged,2007,Percent,0.49363,SD16
Bedford Stuyvesant,Economically Disadvantaged,2008,Percent,0.43075,SD16
Bedford Stuyvesant,Not Economically Disadvantaged,2006,Percent,0.47035,SD16
Bedford Stuyvesant,Not Economically Disadvantaged,2007,Percent,0.20914,SD16
Bedford Stuyvesant,Not Economically Disadvantaged,2008,Percent,0.35294,SD16
Crown Heights,Economically Disadvantaged,2006,Percent,0.48992,SD17
Crown Heights,Economically Disadvantaged,2007,Percent,0.62621,SD17
Crown Heights,Economically Disadvantaged,2008,Percent,0.6044,SD17
Crown Heights,Not Economically Disadvantaged,2006,Percent,0.51122,SD17
Crown Heights,Not Economically Disadvantaged,2007,Percent,0.46679,SD17
Crown Heights,Not Economically Disadvantaged,2008,Percent,0.57205,SD17
"East Flatbush, Canarsie",Economically Disadvantaged,2006,Percent,0.21627,SD18
"East Flatbush, Canarsie",Economically Disadvantaged,2007,Percent,0.37668,SD18
"East Flatbush, Canarsie",Economically Disadvantaged,2008,Percent,0.34993,SD18
"East Flatbush, Canarsie",Not Economically Disadvantaged,2006,Percent,0.35289,SD18
"East Flatbush, Canarsie",Not Economically Disadvantaged,2007,Percent,0.29375,SD18
"East Flatbush, Canarsie",Not Economically Disadvantaged,2008,Percent,0.30483,SD18
East New York,Economically Disadvantaged,2006,Percent,0.4401,SD19
East New York,Economically Disadvantaged,2007,Percent,0.46497,SD19
East New York,Economically Disadvantaged,2008,Percent,0.43997,SD19
East New York,Not Economically Disadvantaged,2006,Percent,0.03344,SD19
East New York,Not Economically Disadvantaged,2007,Percent,0.20125,SD19
East New York,Not Economically Disadvantaged,2008,Percent,0.39234,SD19
"Bay Ridge, Bensonhurst",Economically Disadvantaged,2006,Percent,0.49667,SD20
"Bay Ridge, Bensonhurst",Economically Disadvantaged,2007,Percent,0.65394,SD20
"Bay Ridge, Bensonhurst",Economically Disadvantaged,2008,Percent,0.54302,SD20
"Bay Ridge, Bensonhurst",Not Economically Disadvantaged,2006,Percent,0.4808,SD20
"Bay Ridge, Bensonhurst",Not Economically Disadvantaged,2007,Percent,0.26477,SD20
"Bay Ridge, Bensonhurst",Not Economically Disadvantaged,2008,Percent,0.5854,SD20
"Gravesend, Coney Island",Economically Disadvantaged,2006,Percent,0.51496,SD21
"Gravesend, Coney Island",Economically Disadvantaged,2007,Percent,0.61016,SD21
"Gravesend, Coney Island",Economically Disadvantaged,2008,Percent,0.48483,SD21
"Gravesend, Coney Island",Not Economically Disadvantaged,2006,Percent,0.51709,SD21
"Gravesend, Coney Island",Not Economically Disadvantaged,2007,Percent,0.33779,SD21
"Gravesend, Coney Island",Not Economically Disadvantaged,2008,Percent,0.57582,SD21
"Flatbush, Midwood, Sheepshead Bay",Economically Disadvantaged,2006,Percent,0.45468,SD22
"Flatbush, Midwood, Sheepshead Bay",Economically Disadvantaged,2007,Percent,0.70197,SD22
"Flatbush, Midwood, Sheepshead Bay",Economically Disadvantaged,2008,Percent,0.56226,SD22
"Flatbush, Midwood, Sheepshead Bay",Not Economically Disadvantaged,2006,Percent,0.68448,SD22
"Flatbush, Midwood, Sheepshead Bay",Not Economically Disadvantaged,2007,Percent,0.62848,SD22
"Flatbush, Midwood, Sheepshead Bay",Not Economically Disadvantaged,2008,Percent,0.70293,SD22
"Brownsville, Ocean Hill",Economically Disadvantaged,2006,Percent,0.46667,SD23
"Brownsville, Ocean Hill",Economically Disadvantaged,2007,Percent,0.6,SD23
"Brownsville, Ocean Hill",Economically Disadvantaged,2008,Percent,0.62847,SD23
"Brownsville, Ocean Hill",Not Economically Disadvantaged,2006,Percent,0.45,SD23
"Brownsville, Ocean Hill",Not Economically Disadvantaged,2007,Percent,0.14035,SD23
"Brownsville, Ocean Hill",Not Economically Disadvantaged,2008,Percent,0.57391,SD23
Bushwick,Economically Disadvantaged,2006,Percent,0.34694,SD32
Bushwick,Economically Disadvantaged,2007,Percent,0.55766,SD32
Bushwick,Economically Disadvantaged,2008,Percent,0.51759,SD32
Bushwick,Not Economically Disadvantaged,2006,Percent,0.47782,SD32
Bushwick,Not Economically Disadvantaged,2007,Percent,0.21333,SD32
Bushwick,Not Economically Disadvantaged,2008,Percent,0.50365,SD32
"Sunnyside, Woodside, Jackson Hts",Economically Disadvantaged,2006,Percent,0.5213,SD24
"Sunnyside, Woodside, Jackson Hts",Economically Disadvantaged,2007,Percent,0.6099,SD24
"Sunnyside, Woodside, Jackson Hts",Economically Disadvantaged,2008,Percent,0.55646,SD24
"Sunnyside, Woodside, Jackson Hts",Not Economically Disadvantaged,2006,Percent,0.35771,SD24
"Sunnyside, Woodside, Jackson Hts",Not Economically Disadvantaged,2007,Percent,0.27244,SD24
"Sunnyside, Woodside, Jackson Hts",Not Economically Disadvantaged,2008,Percent,0.52365,SD24
"Flushing, Whitestone",Economically Disadvantaged,2006,Percent,0.5639,SD25
"Flushing, Whitestone",Economically Disadvantaged,2007,Percent,0.60401,SD25
"Flushing, Whitestone",Economically Disadvantaged,2008,Percent,0.59091,SD25
"Flushing, Whitestone",Not Economically Disadvantaged,2006,Percent,0.36269,SD25
"Flushing, Whitestone",Not Economically Disadvantaged,2007,Percent,0.37436,SD25
"Flushing, Whitestone",Not Economically Disadvantaged,2008,Percent,0.54664,SD25
"Bayside, Douglaston, Little Neck",Economically Disadvantaged,2006,Percent,0.68691,SD26
"Bayside, Douglaston, Little Neck",Economically Disadvantaged,2007,Percent,0.82016,SD26
"Bayside, Douglaston, Little Neck",Economically Disadvantaged,2008,Percent,0.72938,SD26
"Bayside, Douglaston, Little Neck",Not Economically Disadvantaged,2006,Percent,0.72126,SD26
"Bayside, Douglaston, Little Neck",Not Economically Disadvantaged,2007,Percent,0.71068,SD26
"Bayside, Douglaston, Little Neck",Not Economically Disadvantaged,2008,Percent,0.75996,SD26
"Jamaica, Howard Beach, Rockaways",Economically Disadvantaged,2006,Percent,0.44732,SD27
"Jamaica, Howard Beach, Rockaways",Economically Disadvantaged,2007,Percent,0.49173,SD27
"Jamaica, Howard Beach, Rockaways",Economically Disadvantaged,2008,Percent,0.44866,SD27
"Jamaica, Howard Beach, Rockaways",Not Economically Disadvantaged,2006,Percent,0.41036,SD27
"Jamaica, Howard Beach, Rockaways",Not Economically Disadvantaged,2007,Percent,0.19196,SD27
"Jamaica, Howard Beach, Rockaways",Not Economically Disadvantaged,2008,Percent,0.32582,SD27
"Jamaica, Forest Hills",Economically Disadvantaged,2006,Percent,0.60121,SD28
"Jamaica, Forest Hills",Economically Disadvantaged,2007,Percent,0.74299,SD28
"Jamaica, Forest Hills",Economically Disadvantaged,2008,Percent,0.63341,SD28
"Jamaica, Forest Hills",Not Economically Disadvantaged,2006,Percent,0.65116,SD28
"Jamaica, Forest Hills",Not Economically Disadvantaged,2007,Percent,0.59758,SD28
"Jamaica, Forest Hills",Not Economically Disadvantaged,2008,Percent,0.63509,SD28
"Queens Village, Rosedale, Hollis",Economically Disadvantaged,2006,Percent,0.46032,SD29
"Queens Village, Rosedale, Hollis",Economically Disadvantaged,2007,Percent,0.61487,SD29
"Queens Village, Rosedale, Hollis",Economically Disadvantaged,2008,Percent,0.64495,SD29
"Queens Village, Rosedale, Hollis",Not Economically Disadvantaged,2006,Percent,0.44257,SD29
"Queens Village, Rosedale, Hollis",Not Economically Disadvantaged,2007,Percent,0.36554,SD29
"Queens Village, Rosedale, Hollis",Not Economically Disadvantaged,2008,Percent,0.52265,SD29
"Long Island City, Astoria",Economically Disadvantaged,2006,Percent,0.5579,SD30
"Long Island City, Astoria",Economically Disadvantaged,2007,Percent,0.66118,SD30
"Long Island City, Astoria",Economically Disadvantaged,2008,Percent,0.58223,SD30
"Long Island City, Astoria",Not Economically Disadvantaged,2006,Percent,0.43918,SD30
"Long Island City, Astoria",Not Economically Disadvantaged,2007,Percent,0.44444,SD30
"Long Island City, Astoria",Not Economically Disadvantaged,2008,Percent,0.49954,SD30
Staten Island,Economically Disadvantaged,2006,Percent,0.55586,SD31
Staten Island,Economically Disadvantaged,2007,Percent,0.63936,SD31
Staten Island,Economically Disadvantaged,2008,Percent,0.5784,SD31
Staten Island,Not Economically Disadvantaged,2006,Percent,0.70262,SD31
Staten Island,Not Economically Disadvantaged,2007,Percent,0.68712,SD31
Staten Island,Not Economically Disadvantaged,2008,Percent,0.72521,SD31
New York City,Economically Disadvantaged,2006,Percent,0.53466,3651000
New York City,Economically Disadvantaged,2007,Percent,0.59535,3651000
New York City,Economically Disadvantaged,2008,Percent,0.56485,3651000
New York City,Not Economically Disadvantaged,2006,Percent,0.5476,3651000
New York City,Not Economically Disadvantaged,2007,Percent,0.50218,3651000
New York City,Not Economically Disadvantaged,2008,Percent,0.61573,3651000
Lower East Side,Economically Disadvantaged,2010,Percent,0.57052,SD1
Lower East Side,Not Economically Disadvantaged,2010,Percent,0.68978,SD1
"Stuyvesant Town, Upper E. Side",Economically Disadvantaged,2010,Percent,0.65414,SD2
"Stuyvesant Town, Upper E. Side",Not Economically Disadvantaged,2010,Percent,0.61201,SD2
Upper West Side,Economically Disadvantaged,2010,Percent,0.54667,SD3
Upper West Side,Not Economically Disadvantaged,2010,Percent,0.83542,SD3
East Harlem,Economically Disadvantaged,2010,Percent,0.74234,SD4
East Harlem,Not Economically Disadvantaged,2010,Percent,0.59474,SD4
Central Harlem,Economically Disadvantaged,2010,Percent,0.62712,SD5
Central Harlem,Not Economically Disadvantaged,2010,Percent,0.59337,SD5
Washington Heights,Economically Disadvantaged,2010,Percent,0.69502,SD6
Washington Heights,Not Economically Disadvantaged,2010,Percent,0.5625,SD6
Mott Haven,Economically Disadvantaged,2010,Percent,0.5565,SD7
Mott Haven,Not Economically Disadvantaged,2010,Percent,0.30799,SD7
"Hunts Point, Port Morris",Economically Disadvantaged,2010,Percent,0.46182,SD8
"Hunts Point, Port Morris",Not Economically Disadvantaged,2010,Percent,0.2799,SD8
"East Tremont, Morris Heights",Economically Disadvantaged,2010,Percent,0.64235,SD9
"East Tremont, Morris Heights",Not Economically Disadvantaged,2010,Percent,0.44118,SD9
"Riverdale, Kingsbridge, Fordham",Economically Disadvantaged,2010,Percent,0.6066,SD10
"Riverdale, Kingsbridge, Fordham",Not Economically Disadvantaged,2010,Percent,0.62226,SD10
"Eastchester, Baychester, Co-op City",Economically Disadvantaged,2010,Percent,0.61534,SD11
"Eastchester, Baychester, Co-op City",Not Economically Disadvantaged,2010,Percent,0.52666,SD11
"Crotona Park, Morrisania, Melrose",Economically Disadvantaged,2010,Percent,0.53942,SD12
"Crotona Park, Morrisania, Melrose",Not Economically Disadvantaged,2010,Percent,0.28241,SD12
"Brooklyn Hts, Downtown Brooklyn",Economically Disadvantaged,2010,Percent,0.75,SD13
"Brooklyn Hts, Downtown Brooklyn",Not Economically Disadvantaged,2010,Percent,0.71447,SD13
