"Name","Graduation Rate by English Language Proficiency"
"Description","New York City public high school students who graduated as of June after four years of instruction.<br />
<br />
English Language Learners are students that classified as ELL as of graduation. English Language Proficient students includes students that never classified as ELLs, and students were declassified more than two year prior. Former English Language Learners are students who were classified as ELL in the prior two school years and are no longer ELL.&nbsp;"
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0"".<br />
<br />
Graduation rates for Former ELLs are not reported prior to 2009."
Lower East Side,English Language Proficient,2006,Percent,0.62275,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2006,Percent,0.24913,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2006,Percent,0.63941,SD2
Upper West Side,English Language Learners,2006,Percent,0.26582,SD3
Upper West Side,English Language Proficient,2006,Percent,0.71341,SD3
East Harlem,English Language Learners,2006,Percent,0.2,SD4
East Harlem,English Language Proficient,2006,Percent,0.68388,SD4
Central Harlem,English Language Learners,2006,Percent,No Data,SD5
Central Harlem,English Language Proficient,2006,Percent,0.6516,SD5
Washington Heights,English Language Learners,2006,Percent,0.29609,SD6
Washington Heights,English Language Proficient,2006,Percent,0.55772,SD6
Mott Haven,English Language Learners,2006,Percent,0.34959,SD7
Mott Haven,English Language Proficient,2006,Percent,0.59528,SD7
"Hunts Point, Port Morris",English Language Learners,2006,Percent,0.19565,SD8
"Hunts Point, Port Morris",English Language Proficient,2006,Percent,0.42887,SD8
"East Tremont, Morris Heights",English Language Learners,2006,Percent,0.2327,SD9
"East Tremont, Morris Heights",English Language Proficient,2006,Percent,0.5152,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2006,Percent,0.16793,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2006,Percent,0.55667,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2006,Percent,0.22277,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2006,Percent,0.49237,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2006,Percent,0.3494,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2006,Percent,0.38593,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2006,Percent,0.36364,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2006,Percent,0.78741,SD13
"Williamsburg, Greenpoint",English Language Learners,2006,Percent,0.30769,SD14
"Williamsburg, Greenpoint",English Language Proficient,2006,Percent,0.55646,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2006,Percent,0.22,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2006,Percent,0.41775,SD15
Bedford Stuyvesant,English Language Learners,2006,Percent,No Data,SD16
Bedford Stuyvesant,English Language Proficient,2006,Percent,0.42228,SD16
Crown Heights,English Language Learners,2006,Percent,0.26724,SD17
Crown Heights,English Language Proficient,2006,Percent,0.52893,SD17
"East Flatbush, Canarsie",English Language Learners,2006,Percent,0.18627,SD18
"East Flatbush, Canarsie",English Language Proficient,2006,Percent,0.33312,SD18
East New York,English Language Learners,2006,Percent,0.27434,SD19
East New York,English Language Proficient,2006,Percent,0.39572,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2006,Percent,0.17736,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2006,Percent,0.56727,SD20
"Gravesend, Coney Island",English Language Learners,2006,Percent,0.18182,SD21
"Gravesend, Coney Island",English Language Proficient,2006,Percent,0.56596,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2006,Percent,0.17297,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2006,Percent,0.6731,SD22
"Brownsville, Ocean Hill",English Language Learners,2006,Percent,No Data,SD23
"Brownsville, Ocean Hill",English Language Proficient,2006,Percent,0.50276,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2006,Percent,0.23353,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2006,Percent,0.54314,SD24
"Flushing, Whitestone",English Language Learners,2006,Percent,0.17094,SD25
"Flushing, Whitestone",English Language Proficient,2006,Percent,0.56238,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2006,Percent,0.35366,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2006,Percent,0.74112,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2006,Percent,0.24599,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2006,Percent,0.46333,SD27
"Jamaica, Forest Hills",English Language Learners,2006,Percent,0.385,SD28
"Jamaica, Forest Hills",English Language Proficient,2006,Percent,0.66544,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2006,Percent,0.21951,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2006,Percent,0.48357,SD29
"Long Island City, Astoria",English Language Learners,2006,Percent,0.25768,SD30
"Long Island City, Astoria",English Language Proficient,2006,Percent,0.55881,SD30
Staten Island,English Language Learners,2006,Percent,0.29286,SD31
Staten Island,English Language Proficient,2006,Percent,0.6977,SD31
Bushwick,English Language Learners,2006,Percent,0.47651,SD32
Bushwick,English Language Proficient,2006,Percent,0.39535,SD32
New York City,English Language Learners,2007,Percent,0.26403,3651000
New York City,English Language Proficient,2007,Percent,0.59536,3651000
Bronx,English Language Learners,2007,Percent,0.21812,36005
Bronx,English Language Proficient,2007,Percent,0.54368,36005
Brooklyn,English Language Learners,2007,Percent,0.24295,36047
Brooklyn,English Language Proficient,2007,Percent,0.5666,36047
Manhattan,English Language Learners,2007,Percent,0.2909,36061
Manhattan,English Language Proficient,2007,Percent,0.62063,36061
Queens,English Language Learners,2007,Percent,0.28057,36081
Queens,English Language Proficient,2007,Percent,0.62635,36081
Staten Island,English Language Learners,2007,Percent,0.38743,36085
Staten Island,English Language Proficient,2007,Percent,0.7028,36085
Lower East Side,English Language Learners,2007,Percent,0.10256,SD1
Lower East Side,English Language Proficient,2007,Percent,0.62257,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2007,Percent,0.26545,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2007,Percent,0.59889,SD2
Upper West Side,English Language Learners,2007,Percent,0.22785,SD3
Upper West Side,English Language Proficient,2007,Percent,0.64891,SD3
East Harlem,English Language Learners,2007,Percent,0.4,SD4
East Harlem,English Language Proficient,2007,Percent,0.68351,SD4
Central Harlem,English Language Learners,2007,Percent,0.1875,SD5
Central Harlem,English Language Proficient,2007,Percent,0.59539,SD5
Washington Heights,English Language Learners,2007,Percent,0.46918,SD6
Washington Heights,English Language Proficient,2007,Percent,0.69508,SD6
Mott Haven,English Language Learners,2007,Percent,0.24444,SD7
Mott Haven,English Language Proficient,2007,Percent,0.58047,SD7
"Hunts Point, Port Morris",English Language Learners,2007,Percent,0.17974,SD8
"Hunts Point, Port Morris",English Language Proficient,2007,Percent,0.4265,SD8
"East Tremont, Morris Heights",English Language Learners,2007,Percent,0.27465,SD9
"East Tremont, Morris Heights",English Language Proficient,2007,Percent,0.54126,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2007,Percent,0.20901,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2007,Percent,0.60981,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2007,Percent,0.22456,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2007,Percent,0.55979,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2007,Percent,0.26446,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2007,Percent,0.43952,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2007,Percent,0.36735,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2007,Percent,0.75401,SD13
"Williamsburg, Greenpoint",English Language Learners,2007,Percent,0.23529,SD14
"Williamsburg, Greenpoint",English Language Proficient,2007,Percent,0.57949,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2007,Percent,0.17778,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2007,Percent,0.43941,SD15
Bedford Stuyvesant,English Language Learners,2007,Percent,0.17857,SD16
Bedford Stuyvesant,English Language Proficient,2007,Percent,0.38286,SD16
Crown Heights,English Language Learners,2007,Percent,0.24194,SD17
Crown Heights,English Language Proficient,2007,Percent,0.6068,SD17
"East Flatbush, Canarsie",English Language Learners,2007,Percent,0.17293,SD18
"East Flatbush, Canarsie",English Language Proficient,2007,Percent,0.34572,SD18
East New York,English Language Learners,2007,Percent,0.20775,SD19
East New York,English Language Proficient,2007,Percent,0.44955,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2007,Percent,0.24658,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2007,Percent,0.59769,SD20
"Gravesend, Coney Island",English Language Learners,2007,Percent,0.25937,SD21
"Gravesend, Coney Island",English Language Proficient,2007,Percent,0.56625,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2007,Percent,0.285,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2007,Percent,0.68228,SD22
"Brownsville, Ocean Hill",English Language Learners,2007,Percent,No Data,SD23
"Brownsville, Ocean Hill",English Language Proficient,2007,Percent,0.50476,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2007,Percent,0.32597,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2007,Percent,0.54866,SD24
"Flushing, Whitestone",English Language Learners,2007,Percent,0.19683,SD25
"Flushing, Whitestone",English Language Proficient,2007,Percent,0.60025,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2007,Percent,0.3381,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2007,Percent,0.77667,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2007,Percent,0.27437,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2007,Percent,0.44826,SD27
"Jamaica, Forest Hills",English Language Learners,2007,Percent,0.28959,SD28
"Jamaica, Forest Hills",English Language Proficient,2007,Percent,0.67938,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2007,Percent,0.22222,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2007,Percent,0.50318,SD29
"Long Island City, Astoria",English Language Learners,2007,Percent,0.26087,SD30
"Long Island City, Astoria",English Language Proficient,2007,Percent,0.631,SD30
Staten Island,English Language Learners,2007,Percent,0.38743,SD31
Staten Island,English Language Proficient,2007,Percent,0.7028,SD31
Bushwick,English Language Learners,2007,Percent,0.2766,SD32
Bushwick,English Language Proficient,2007,Percent,0.53673,SD32
New York City,English Language Learners,2008,Percent,0.37082,3651000
New York City,English Language Proficient,2008,Percent,0.61234,3651000
Bronx,English Language Learners,2008,Percent,0.35655,36005
Bronx,English Language Proficient,2008,Percent,0.56955,36005
Brooklyn,English Language Learners,2008,Percent,0.36157,36047
Brooklyn,English Language Proficient,2008,Percent,0.5875,36047
Manhattan,English Language Learners,2008,Percent,0.39182,36061
Manhattan,English Language Proficient,2008,Percent,0.63773,36061
Queens,English Language Learners,2008,Percent,0.3851,36081
Queens,English Language Proficient,2008,Percent,0.63396,36081
Staten Island,English Language Learners,2008,Percent,0.24828,36085
Staten Island,English Language Proficient,2008,Percent,0.70602,36085
Lower East Side,English Language Learners,2008,Percent,0.4269,SD1
Lower East Side,English Language Proficient,2008,Percent,0.69164,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2008,Percent,0.37671,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2008,Percent,0.62421,SD2
Upper West Side,English Language Learners,2008,Percent,0.35897,SD3
Upper West Side,English Language Proficient,2008,Percent,0.66336,SD3
East Harlem,English Language Learners,2008,Percent,0.25,SD4
East Harlem,English Language Proficient,2008,Percent,0.6766,SD4
Central Harlem,English Language Learners,2008,Percent,0.12903,SD5
Central Harlem,English Language Proficient,2008,Percent,0.6053,SD5
Washington Heights,English Language Learners,2008,Percent,0.50951,SD6
Washington Heights,English Language Proficient,2008,Percent,0.65551,SD6
Mott Haven,English Language Learners,2008,Percent,0.21277,SD7
Mott Haven,English Language Proficient,2008,Percent,0.5775,SD7
"Hunts Point, Port Morris",English Language Learners,2008,Percent,0.24476,SD8
"Hunts Point, Port Morris",English Language Proficient,2008,Percent,0.42772,SD8
"East Tremont, Morris Heights",English Language Learners,2008,Percent,0.4586,SD9
"East Tremont, Morris Heights",English Language Proficient,2008,Percent,0.63636,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2008,Percent,0.37454,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2008,Percent,0.63909,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2008,Percent,0.39326,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2008,Percent,0.61123,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2008,Percent,0.44444,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2008,Percent,0.45078,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2008,Percent,0.53846,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2008,Percent,0.78259,SD13
"Williamsburg, Greenpoint",English Language Learners,2008,Percent,0.39423,SD14
"Williamsburg, Greenpoint",English Language Proficient,2008,Percent,0.64896,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2008,Percent,0.25,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2008,Percent,0.47619,SD15
Bedford Stuyvesant,English Language Learners,2008,Percent,No Data,SD16
Bedford Stuyvesant,English Language Proficient,2008,Percent,0.41238,SD16
Crown Heights,English Language Learners,2008,Percent,0.42537,SD17
Crown Heights,English Language Proficient,2008,Percent,0.61588,SD17
"East Flatbush, Canarsie",English Language Learners,2008,Percent,0.33571,SD18
"East Flatbush, Canarsie",English Language Proficient,2008,Percent,0.32884,SD18
East New York,English Language Learners,2008,Percent,0.25676,SD19
East New York,English Language Proficient,2008,Percent,0.46488,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2008,Percent,0.38511,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2008,Percent,0.61104,SD20
"Gravesend, Coney Island",English Language Learners,2008,Percent,0.3033,SD21
"Gravesend, Coney Island",English Language Proficient,2008,Percent,0.56514,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2008,Percent,0.35622,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2008,Percent,0.69815,SD22
"Brownsville, Ocean Hill",English Language Learners,2008,Percent,No Data,SD23
"Brownsville, Ocean Hill",English Language Proficient,2008,Percent,0.63185,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2008,Percent,0.38561,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2008,Percent,0.58473,SD24
"Flushing, Whitestone",English Language Learners,2008,Percent,0.37435,SD25
"Flushing, Whitestone",English Language Proficient,2008,Percent,0.62687,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2008,Percent,0.53049,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2008,Percent,0.77701,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2008,Percent,0.26374,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2008,Percent,0.455,SD27
"Jamaica, Forest Hills",English Language Learners,2008,Percent,0.33555,SD28
"Jamaica, Forest Hills",English Language Proficient,2008,Percent,0.67548,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2008,Percent,No Data,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2008,Percent,0.60424,SD29
"Long Island City, Astoria",English Language Learners,2008,Percent,0.39366,SD30
"Long Island City, Astoria",English Language Proficient,2008,Percent,0.59822,SD30
Staten Island,English Language Learners,2008,Percent,0.24828,SD31
Staten Island,English Language Proficient,2008,Percent,0.70602,SD31
Bushwick,English Language Learners,2008,Percent,0.50562,SD32
Bushwick,English Language Proficient,2008,Percent,0.52615,SD32
New York City,English Language Learners,2019,Percent,0.34721,3651000
New York City,Former English Language Learners,2019,Percent,0.87828,3651000
New York City,English Language Proficient,2019,Percent,0.77429,3651000
Bronx,English Language Learners,2019,Percent,0.36166,36005
Bronx,Former English Language Learners,2019,Percent,0.89513,36005
Bronx,English Language Proficient,2019,Percent,0.69653,36005
Brooklyn,English Language Learners,2019,Percent,0.34935,36047
Brooklyn,Former English Language Learners,2019,Percent,0.86676,36047
Brooklyn,English Language Proficient,2019,Percent,0.76224,36047
Manhattan,English Language Learners,2019,Percent,0.31731,36061
Manhattan,Former English Language Learners,2019,Percent,0.86906,36061
Manhattan,English Language Proficient,2019,Percent,0.79244,36061
Queens,English Language Learners,2019,Percent,0.35855,36081
Queens,Former English Language Learners,2019,Percent,0.88874,36081
Queens,English Language Proficient,2019,Percent,0.80854,36081
Staten Island,English Language Learners,2019,Percent,0.24812,36085
Staten Island,Former English Language Learners,2019,Percent,0.78947,36085
Staten Island,English Language Proficient,2019,Percent,0.82899,36085
Lower East Side,English Language Learners,2019,Percent,0.37017,SD1
Lower East Side,Former English Language Learners,2019,Percent,0.80392,SD1
Lower East Side,English Language Proficient,2019,Percent,0.73256,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2019,Percent,0.26225,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2019,Percent,0.86726,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2019,Percent,0.80261,SD2
Upper West Side,English Language Learners,2019,Percent,0.26744,SD3
Upper West Side,Former English Language Learners,2019,Percent,0.77941,SD3
Upper West Side,English Language Proficient,2019,Percent,0.80157,SD3
East Harlem,English Language Learners,2019,Percent,0.35417,SD4
East Harlem,Former English Language Learners,2019,Percent,0.98529,SD4
East Harlem,English Language Proficient,2019,Percent,0.87173,SD4
Central Harlem,English Language Learners,2019,Percent,0.06452,SD5
Central Harlem,Former English Language Learners,2019,Percent,0.88235,SD5
Central Harlem,English Language Proficient,2019,Percent,0.69708,SD5
Washington Heights,English Language Learners,2019,Percent,0.45349,SD6
Washington Heights,Former English Language Learners,2019,Percent,0.88202,SD6
Washington Heights,English Language Proficient,2019,Percent,0.7506,SD6
Mott Haven,English Language Learners,2019,Percent,0.36842,SD7
Mott Haven,Former English Language Learners,2019,Percent,0.86667,SD7
Mott Haven,English Language Proficient,2019,Percent,0.64064,SD7
"Hunts Point, Port Morris",English Language Learners,2019,Percent,0.26378,SD8
"Hunts Point, Port Morris",Former English Language Learners,2019,Percent,0.80833,SD8
"Hunts Point, Port Morris",English Language Proficient,2019,Percent,0.59408,SD8
"East Tremont, Morris Heights",English Language Learners,2019,Percent,0.40767,SD9
"East Tremont, Morris Heights",Former English Language Learners,2019,Percent,0.90991,SD9
"East Tremont, Morris Heights",English Language Proficient,2019,Percent,0.69613,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2019,Percent,0.37713,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2019,Percent,0.90596,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2019,Percent,0.81265,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2019,Percent,0.33921,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2019,Percent,0.95025,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2019,Percent,0.70781,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2019,Percent,0.3589,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2019,Percent,0.87879,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2019,Percent,0.58522,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2019,Percent,0.29412,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2019,Percent,0.95556,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2019,Percent,0.85731,SD13
"Williamsburg, Greenpoint",English Language Learners,2019,Percent,0.49265,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2019,Percent,0.85714,SD14
