"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Sunnyside/Woodside,Asian,2016,Percent,0.35192,402
Ridgewood/Glendale,Asian,2016,Percent,0.0838,405
Woodhaven,Asian,2016,Percent,0.26335,409
Jamaica/St. Albans,Asian,2016,Percent,0.11655,412
Howard Beach,Asian,2016,Percent,0.21093,410
The Rockaways,Asian,2016,Percent,0.03917,414
Bronx,Asian,2016,Percent,0.03611,36005
Brooklyn,Asian,2016,Percent,0.11614,36047
Manhattan,Asian,2016,Percent,0.11704,36061
Queens,Asian,2016,Percent,0.24664,36081
Staten Island,Asian,2016,Percent,0.07981,36085
New York City,Asian,2016,Percent,0.13632,3651000
Riverdale,Black,2009,Number,14284,208
Williamsbridge,Black,2009,Number,99399,212
Throgs Neck,Black,2009,Number,27462,210
Pelham Parkway,Black,2009,Number,26603,211
Morrisania,Black,2009,Number,23980.94947,203
East Tremont,Black,2009,Number,25035.05053,206
Bedford Park,Black,2009,Number,23220,207
University Heights,Black,2009,Number,42612,205
Concourse/Highbridge,Black,2009,Number,45142,204
Unionport/Soundview,Black,2009,Number,55452,209
Mott Haven,Black,2009,Number,25395.07532,201
Hunts Point,Black,2009,Number,14500.92468,202
Washington Heights,Black,2009,Number,18237,112
Manhattanville,Black,2009,Number,31868,109
Central Harlem,Black,2009,Number,80098,110
East Harlem,Black,2009,Number,39382,111
Upper East Side,Black,2009,Number,6411,108
Upper West Side,Black,2009,Number,13660,107
Chelsea/Clinton,Black,2009,Number,5319.59869,104
Midtown Business District,Black,2009,Number,2662.40131,105
Murray Hill/Stuyvesant,Black,2009,Number,3924,106
Lower East Side,Black,2009,Number,12243,103
Battery Park/Tribeca,Black,2009,Number,1287.05039,101
Greenwich Village,Black,2009,Number,1899.94961,102
Tottenville,Black,2009,Number,1770,503
South Beach,Black,2009,Number,4273,502
St. George,Black,2009,Number,39318,501
Williamsburg/Greenpoint,Black,2009,Number,5633,301
Bushwick,Black,2009,Number,25297,304
Bedford Stuyvesant,Black,2009,Number,88728,303
Fort Greene/Brooklyn Hts,Black,2009,Number,36080,302
Park Slope,Black,2009,Number,10359,306
Crown Heights North,Black,2009,Number,90111,308
Brownsville,Black,2009,Number,86897,316
East New York,Black,2009,Number,76490,305
Canarsie,Black,2009,Number,121474,318
East Flatbush,Black,2009,Number,129863,317
Crown Heights South,Black,2009,Number,82813,309
Sunset Park,Black,2009,Number,4745,307
Bay Ridge,Black,2009,Number,1339,310
Borough Park,Black,2009,Number,4074,312
Flatbush/Midwood,Black,2009,Number,56298,314
Sheepshead Bay,Black,2009,Number,4976,315
Bensonhurst,Black,2009,Number,1026,311
Coney Island,Black,2009,Number,13602,313
Astoria,Black,2009,Number,10595,401
Jackson Heights,Black,2009,Number,11573,403
Flushing,Black,2009,Number,6382,407
Bayside,Black,2009,Number,2154,411
Queens Village,Black,2009,Number,115399,413
Fresh Meadows/Briarwood,Black,2009,Number,18783,408
Elmhurst/Corona,Black,2009,Number,9400,404
Rego Park/Forest Hills,Black,2009,Number,2738,406
Sunnyside/Woodside,Black,2009,Number,2404,402
Ridgewood/Glendale,Black,2009,Number,1954,405
Woodhaven,Black,2009,Number,11397,409
Jamaica/St. Albans,Black,2009,Number,151563,412
Howard Beach,Black,2009,Number,23081,410
The Rockaways,Black,2009,Number,45008,414
Bronx,Black,2009,Number,423086,36005
Brooklyn,Black,2009,Number,839805,36047
Manhattan,Black,2009,Number,216992,36061
Queens,Black,2009,Number,412431,36081
Staten Island,Black,2009,Number,45361,36085
New York City,Black,2009,Number,1937675,3651000
Riverdale,Black,2009,Percent,0.12709,208
Williamsbridge,Black,2009,Percent,0.67304,212
Throgs Neck,Black,2009,Percent,0.23526,210
Pelham Parkway,Black,2009,Percent,0.20729,211
Morrisania,Black,2009,Percent,0.33002,203
East Tremont,Black,2009,Percent,0.33002,206
Bedford Park,Black,2009,Percent,0.18405,207
University Heights,Black,2009,Percent,0.31281,205
Concourse/Highbridge,Black,2009,Percent,0.33835,204
Unionport/Soundview,Black,2009,Percent,0.30738,209
Mott Haven,Black,2009,Percent,0.26308,201
Hunts Point,Black,2009,Percent,0.26308,202
Washington Heights,Black,2009,Percent,0.08591,112
Manhattanville,Black,2009,Percent,0.25672,109
Central Harlem,Black,2009,Percent,0.66813,110
East Harlem,Black,2009,Percent,0.32267,111
Upper East Side,Black,2009,Percent,0.02822,108
Upper West Side,Black,2009,Percent,0.06502,107
Chelsea/Clinton,Black,2009,Percent,0.05553,104
Midtown Business District,Black,2009,Percent,0.05553,105
Murray Hill/Stuyvesant,Black,2009,Percent,0.02611,106
Lower East Side,Black,2009,Percent,0.07286,103
Battery Park/Tribeca,Black,2009,Percent,0.02223,101
Greenwich Village,Black,2009,Percent,0.02223,102
Tottenville,Black,2009,Percent,0.01054,503
South Beach,Black,2009,Percent,0.03051,502
St. George,Black,2009,Percent,0.22444,501
Williamsburg/Greenpoint,Black,2009,Percent,0.03878,301
Bushwick,Black,2009,Percent,0.19669,304
Bedford Stuyvesant,Black,2009,Percent,0.65972,303
Fort Greene/Brooklyn Hts,Black,2009,Percent,0.31076,302
Park Slope,Black,2009,Percent,0.08914,306
Crown Heights North,Black,2009,Percent,0.71199,308
Brownsville,Black,2009,Percent,0.75832,316
East New York,Black,2009,Percent,0.48832,305
Canarsie,Black,2009,Percent,0.59302,318
East Flatbush,Black,2009,Percent,0.89053,317
Crown Heights South,Black,2009,Percent,0.75072,309
Sunset Park,Black,2009,Percent,0.03137,307
Bay Ridge,Black,2009,Percent,0.01053,310
Borough Park,Black,2009,Percent,0.0249,312
Flatbush/Midwood,Black,2009,Percent,0.35053,314
Sheepshead Bay,Black,2009,Percent,0.03339,315
Bensonhurst,Black,2009,Percent,0.00577,311
Coney Island,Black,2009,Percent,0.12471,313
Astoria,Black,2009,Percent,0.05756,401
Jackson Heights,Black,2009,Percent,0.06329,403
Flushing,Black,2009,Percent,0.02548,407
Bayside,Black,2009,Percent,0.01786,411
Queens Village,Black,2009,Percent,0.56412,413
Fresh Meadows/Briarwood,Black,2009,Percent,0.12291,408
Elmhurst/Corona,Black,2009,Percent,0.06734,404
Rego Park/Forest Hills,Black,2009,Percent,0.02356,406
Sunnyside/Woodside,Black,2009,Percent,0.01775,402
Ridgewood/Glendale,Black,2009,Percent,0.01103,405
Woodhaven,Black,2009,Percent,0.07735,409
Jamaica/St. Albans,Black,2009,Percent,0.68214,412
Howard Beach,Black,2009,Percent,0.17652,410
The Rockaways,Black,2009,Percent,0.39228,414
Bronx,Black,2009,Percent,0.30624,36005
Brooklyn,Black,2009,Percent,0.33087,36047
Manhattan,Black,2009,Percent,0.13387,36061
Queens,Black,2009,Percent,0.18098,36081
Staten Island,Black,2009,Percent,0.09388,36085
New York City,Black,2009,Percent,0.23338,3651000
Riverdale,Black,2010,Number,13466,208
Williamsbridge,Black,2010,Number,98335,212
Throgs Neck,Black,2010,Number,28471,210
Pelham Parkway,Black,2010,Number,24793,211
Morrisania,Black,2010,Number,23881.63225,203
East Tremont,Black,2010,Number,24931.36775,206
Bedford Park,Black,2010,Number,22586,207
University Heights,Black,2010,Number,39671,205
Concourse/Highbridge,Black,2010,Number,45308,204
Unionport/Soundview,Black,2010,Number,53629,209
Mott Haven,Black,2010,Number,26945.66695,201
Hunts Point,Black,2010,Number,15386.33305,202
Washington Heights,Black,2010,Number,17847,112
Manhattanville,Black,2010,Number,29298,109
Central Harlem,Black,2010,Number,76151,110
East Harlem,Black,2010,Number,38855,111
Upper East Side,Black,2010,Number,6407,108
Upper West Side,Black,2010,Number,13664,107
Chelsea/Clinton,Black,2010,Number,5423.56479,104
Midtown Business District,Black,2010,Number,2714.43521,105
Murray Hill/Stuyvesant,Black,2010,Number,4177,106
Lower East Side,Black,2010,Number,11513,103
Battery Park/Tribeca,Black,2010,Number,1274.53123,101
Greenwich Village,Black,2010,Number,1881.46877,102
Tottenville,Black,2010,Number,1933,503
South Beach,Black,2010,Number,4395,502
St. George,Black,2010,Number,37548,501
Williamsburg/Greenpoint,Black,2010,Number,5364,301
Bushwick,Black,2010,Number,24645,304
Bedford Stuyvesant,Black,2010,Number,82644,303
Fort Greene/Brooklyn Hts,Black,2010,Number,35310,302
Park Slope,Black,2010,Number,9871,306
Crown Heights North,Black,2010,Number,83628,308
Brownsville,Black,2010,Number,84275,316
East New York,Black,2010,Number,75107,305
Canarsie,Black,2010,Number,120928,318
East Flatbush,Black,2010,Number,122981,317
Crown Heights South,Black,2010,Number,79467,309
Sunset Park,Black,2010,Number,4555,307
Bay Ridge,Black,2010,Number,1338,310
Borough Park,Black,2010,Number,3732,312
Flatbush/Midwood,Black,2010,Number,55557,314
Sheepshead Bay,Black,2010,Number,4405,315
Bensonhurst,Black,2010,Number,884,311
Coney Island,Black,2010,Number,13574,313
Astoria,Black,2010,Number,10908,401
Jackson Heights,Black,2010,Number,10508,403
Flushing,Black,2010,Number,5758,407
Bayside,Black,2010,Number,1954,411
Queens Village,Black,2010,Number,114312,413
Fresh Meadows/Briarwood,Black,2010,Number,18669,408
Elmhurst/Corona,Black,2010,Number,8838,404
Rego Park/Forest Hills,Black,2010,Number,2635,406
Sunnyside/Woodside,Black,2010,Number,2084,402
Ridgewood/Glendale,Black,2010,Number,1933,405
Woodhaven,Black,2010,Number,11918,409
Jamaica/St. Albans,Black,2010,Number,142251,412
Howard Beach,Black,2010,Number,20545,410
The Rockaways,Black,2010,Number,43025,414
Bronx,Black,2010,Number,417404,36005
Brooklyn,Black,2010,Number,808265,36047
Manhattan,Black,2010,Number,209206,36061
Queens,Black,2010,Number,395338,36081
Staten Island,Black,2010,Number,43876,36085
New York City,Black,2010,Number,1874089,3651000
Riverdale,Black,2010,Percent,0.12446,208
Williamsbridge,Black,2010,Percent,0.67994,212
Throgs Neck,Black,2010,Percent,0.25262,210
Pelham Parkway,Black,2010,Percent,0.19945,211
Morrisania,Black,2010,Percent,0.32445,203
East Tremont,Black,2010,Percent,0.32445,206
Bedford Park,Black,2010,Percent,0.18325,207
University Heights,Black,2010,Percent,0.29374,205
Concourse/Highbridge,Black,2010,Percent,0.3326,204
Unionport/Soundview,Black,2010,Percent,0.30081,209
Mott Haven,Black,2010,Percent,0.27734,201
Hunts Point,Black,2010,Percent,0.27734,202
Washington Heights,Black,2010,Percent,0.08458,112
Manhattanville,Black,2010,Percent,0.23678,109
Central Harlem,Black,2010,Percent,0.62975,110
East Harlem,Black,2010,Percent,0.3161,111
Upper East Side,Black,2010,Percent,0.02963,108
Upper West Side,Black,2010,Percent,0.06919,107
Chelsea/Clinton,Black,2010,Percent,0.05892,104
Midtown Business District,Black,2010,Percent,0.05892,105
Murray Hill/Stuyvesant,Black,2010,Percent,0.02843,106
Lower East Side,Black,2010,Percent,0.06952,103
Battery Park/Tribeca,Black,2010,Percent,0.02248,101
Greenwich Village,Black,2010,Percent,0.02248,102
Tottenville,Black,2010,Percent,0.0121,503
South Beach,Black,2010,Percent,0.03272,502
St. George,Black,2010,Percent,0.22171,501
Williamsburg/Greenpoint,Black,2010,Percent,0.03784,301
Bushwick,Black,2010,Percent,0.19095,304
Bedford Stuyvesant,Black,2010,Percent,0.63763,303
Fort Greene/Brooklyn Hts,Black,2010,Percent,0.30512,302
Park Slope,Black,2010,Percent,0.0882,306
Crown Heights North,Black,2010,Percent,0.68841,308
Brownsville,Black,2010,Percent,0.74533,316
East New York,Black,2010,Percent,0.49233,305
Canarsie,Black,2010,Percent,0.59902,318
East Flatbush,Black,2010,Percent,0.88576,317
Crown Heights South,Black,2010,Percent,0.74426,309
Sunset Park,Black,2010,Percent,0.03073,307
Bay Ridge,Black,2010,Percent,0.01081,310
Borough Park,Black,2010,Percent,0.02312,312
Flatbush/Midwood,Black,2010,Percent,0.35288,314
Sheepshead Bay,Black,2010,Percent,0.03164,315
Bensonhurst,Black,2010,Percent,0.00522,311
Coney Island,Black,2010,Percent,0.12949,313
Astoria,Black,2010,Percent,0.06343,401
Jackson Heights,Black,2010,Percent,0.05955,403
Flushing,Black,2010,Percent,0.0236,407
Bayside,Black,2010,Percent,0.0168,411
Queens Village,Black,2010,Percent,0.57234,413
Fresh Meadows/Briarwood,Black,2010,Percent,0.12544,408
Elmhurst/Corona,Black,2010,Percent,0.06451,404
Rego Park/Forest Hills,Black,2010,Percent,0.02345,406
Sunnyside/Woodside,Black,2010,Percent,0.01599,402
Ridgewood/Glendale,Black,2010,Percent,0.01146,405
Woodhaven,Black,2010,Percent,0.08432,409
Jamaica/St. Albans,Black,2010,Percent,0.66381,412
Howard Beach,Black,2010,Percent,0.16212,410
The Rockaways,Black,2010,Percent,0.38677,414
Bronx,Black,2010,Percent,0.30563,36005
Brooklyn,Black,2010,Percent,0.32766,36047
Manhattan,Black,2010,Percent,0.13213,36061
Queens,Black,2010,Percent,0.17977,36081
Staten Island,Black,2010,Percent,0.09467,36085
New York City,Black,2010,Percent,0.23199,3651000
Riverdale,Black,2011,Number,13086,208
Williamsbridge,Black,2011,Number,97951,212
Throgs Neck,Black,2011,Number,29004,210
Pelham Parkway,Black,2011,Number,26562,211
Morrisania,Black,2011,Number,23588.08383,203
East Tremont,Black,2011,Number,24624.91617,206
Bedford Park,Black,2011,Number,23128,207
University Heights,Black,2011,Number,39278,205
Concourse/Highbridge,Black,2011,Number,46377,204
Unionport/Soundview,Black,2011,Number,52942,209
Mott Haven,Black,2011,Number,26053.8858,201
Hunts Point,Black,2011,Number,14877.1142,202
Washington Heights,Black,2011,Number,18365,112
Manhattanville,Black,2011,Number,30055,109
Central Harlem,Black,2011,Number,76096,110
East Harlem,Black,2011,Number,37902,111
Upper East Side,Black,2011,Number,6123,108
Upper West Side,Black,2011,Number,13043,107
Chelsea/Clinton,Black,2011,Number,5073.01243,104
Midtown Business District,Black,2011,Number,2538.98757,105
Murray Hill/Stuyvesant,Black,2011,Number,4583,106
Lower East Side,Black,2011,Number,11188,103
Battery Park/Tribeca,Black,2011,Number,1333.49243,101
Greenwich Village,Black,2011,Number,1968.50757,102
Tottenville,Black,2011,Number,2063,503
South Beach,Black,2011,Number,3921,502
St. George,Black,2011,Number,38318,501
Williamsburg/Greenpoint,Black,2011,Number,5490,301
Bushwick,Black,2011,Number,24322,304
Bedford Stuyvesant,Black,2011,Number,80028,303
Fort Greene/Brooklyn Hts,Black,2011,Number,34272,302
Park Slope,Black,2011,Number,9807,306
Crown Heights North,Black,2011,Number,80901,308
Brownsville,Black,2011,Number,85182,316
East New York,Black,2011,Number,75736,305
Canarsie,Black,2011,Number,123585,318
East Flatbush,Black,2011,Number,122721,317
Crown Heights South,Black,2011,Number,81253,309
Sunset Park,Black,2011,Number,5037,307
Bay Ridge,Black,2011,Number,1348,310
Borough Park,Black,2011,Number,3565,312
Flatbush/Midwood,Black,2011,Number,54590,314
Sheepshead Bay,Black,2011,Number,4731,315
Bensonhurst,Black,2011,Number,1526,311
Coney Island,Black,2011,Number,13014,313
Astoria,Black,2011,Number,10477,401
Jackson Heights,Black,2011,Number,10157,403
Flushing,Black,2011,Number,5213,407
Bayside,Black,2011,Number,1908,411
Queens Village,Black,2011,Number,114154,413
Fresh Meadows/Briarwood,Black,2011,Number,19009,408
Elmhurst/Corona,Black,2011,Number,9244,404
Rego Park/Forest Hills,Black,2011,Number,2752,406
Sunnyside/Woodside,Black,2011,Number,2088,402
Ridgewood/Glendale,Black,2011,Number,2078,405
Woodhaven,Black,2011,Number,11804,409
Jamaica/St. Albans,Black,2011,Number,143583,412
Howard Beach,Black,2011,Number,21449,410
The Rockaways,Black,2011,Number,42786,414
Bronx,Black,2011,Number,417472,36005
Brooklyn,Black,2011,Number,807108,36047
Manhattan,Black,2011,Number,208269,36061
Queens,Black,2011,Number,396702,36081
Staten Island,Black,2011,Number,44302,36085
New York City,Black,2011,Number,1873853,3651000
Riverdale,Black,2011,Percent,0.12281,208
Williamsbridge,Black,2011,Percent,0.67832,212
Throgs Neck,Black,2011,Percent,0.2505,210
Pelham Parkway,Black,2011,Percent,0.21085,211
Morrisania,Black,2011,Percent,0.31229,203
East Tremont,Black,2011,Percent,0.31229,206
Bedford Park,Black,2011,Percent,0.18807,207
University Heights,Black,2011,Percent,0.296,205
Concourse/Highbridge,Black,2011,Percent,0.33284,204
Unionport/Soundview,Black,2011,Percent,0.29566,209
Mott Haven,Black,2011,Percent,0.26681,201
Hunts Point,Black,2011,Percent,0.26681,202
Washington Heights,Black,2011,Percent,0.08667,112
Manhattanville,Black,2011,Percent,0.23485,109
Central Harlem,Black,2011,Percent,0.62227,110
East Harlem,Black,2011,Percent,0.31117,111
Upper East Side,Black,2011,Percent,0.02832,108
Upper West Side,Black,2011,Percent,0.06661,107
Chelsea/Clinton,Black,2011,Percent,0.05448,104
Midtown Business District,Black,2011,Percent,0.05448,105
Murray Hill/Stuyvesant,Black,2011,Percent,0.03137,106
Lower East Side,Black,2011,Percent,0.0681,103
Battery Park/Tribeca,Black,2011,Percent,0.02323,101
Greenwich Village,Black,2011,Percent,0.02323,102
Tottenville,Black,2011,Percent,0.01282,503
South Beach,Black,2011,Percent,0.02968,502
St. George,Black,2011,Percent,0.22146,501
Williamsburg/Greenpoint,Black,2011,Percent,0.0383,301
Bushwick,Black,2011,Percent,0.18531,304
Bedford Stuyvesant,Black,2011,Percent,0.61474,303
Fort Greene/Brooklyn Hts,Black,2011,Percent,0.28757,302
Park Slope,Black,2011,Percent,0.08704,306
Crown Heights North,Black,2011,Percent,0.66367,308
Brownsville,Black,2011,Percent,0.74331,316
East New York,Black,2011,Percent,0.5042,305
Canarsie,Black,2011,Percent,0.60945,318
East Flatbush,Black,2011,Percent,0.88786,317
Crown Heights South,Black,2011,Percent,0.74203,309
Sunset Park,Black,2011,Percent,0.03432,307
Bay Ridge,Black,2011,Percent,0.0106,310
Borough Park,Black,2011,Percent,0.02183,312
Flatbush/Midwood,Black,2011,Percent,0.34397,314
Sheepshead Bay,Black,2011,Percent,0.03378,315
Bensonhurst,Black,2011,Percent,0.00888,311
Coney Island,Black,2011,Percent,0.12472,313
Astoria,Black,2011,Percent,0.06218,401
Jackson Heights,Black,2011,Percent,0.05739,403
Flushing,Black,2011,Percent,0.02136,407
Bayside,Black,2011,Percent,0.01617,411
Queens Village,Black,2011,Percent,0.56971,413
Fresh Meadows/Briarwood,Black,2011,Percent,0.12672,408
Elmhurst/Corona,Black,2011,Percent,0.06691,404
Rego Park/Forest Hills,Black,2011,Percent,0.02458,406
Sunnyside/Woodside,Black,2011,Percent,0.01606,402
Ridgewood/Glendale,Black,2011,Percent,0.01226,405
Woodhaven,Black,2011,Percent,0.08156,409
Jamaica/St. Albans,Black,2011,Percent,0.65379,412
Howard Beach,Black,2011,Percent,0.16625,410
The Rockaways,Black,2011,Percent,0.37855,414
Bronx,Black,2011,Percent,0.30371,36005
Brooklyn,Black,2011,Percent,0.32465,36047
Manhattan,Black,2011,Percent,0.13113,36061
Queens,Black,2011,Percent,0.17918,36081
Staten Island,Black,2011,Percent,0.09506,36085
New York City,Black,2011,Percent,0.23052,3651000
Riverdale,Black,2012,Number,13775,208
Williamsbridge,Black,2012,Number,98565,212
Throgs Neck,Black,2012,Number,31433,210
Pelham Parkway,Black,2012,Number,26092,211
Morrisania,Black,2012,Number,23345.90637,203
East Tremont,Black,2012,Number,24372.09363,206
Bedford Park,Black,2012,Number,23696,207
University Heights,Black,2012,Number,37540,205
Concourse/Highbridge,Black,2012,Number,46838,204
Unionport/Soundview,Black,2012,Number,53098,209
Mott Haven,Black,2012,Number,26120.72165,201
Hunts Point,Black,2012,Number,14915.27835,202
Washington Heights,Black,2012,Number,18106,112
Manhattanville,Black,2012,Number,30506,109
Central Harlem,Black,2012,Number,76298,110
East Harlem,Black,2012,Number,36803,111
Upper East Side,Black,2012,Number,6657,108
Upper West Side,Black,2012,Number,13288,107
Chelsea/Clinton,Black,2012,Number,4884.40727,104
Midtown Business District,Black,2012,Number,2444.59273,105
Murray Hill/Stuyvesant,Black,2012,Number,4942,106
Lower East Side,Black,2012,Number,10889,103
Battery Park/Tribeca,Black,2012,Number,1249.49291,101
Greenwich Village,Black,2012,Number,1844.50709,102
Tottenville,Black,2012,Number,1921,503
South Beach,Black,2012,Number,4430,502
St. George,Black,2012,Number,38314,501
Williamsburg/Greenpoint,Black,2012,Number,5307,301
Bushwick,Black,2012,Number,24600,304
Bedford Stuyvesant,Black,2012,Number,80436,303
Fort Greene/Brooklyn Hts,Black,2012,Number,34635,302
Park Slope,Black,2012,Number,9159,306
Crown Heights North,Black,2012,Number,79248,308
Brownsville,Black,2012,Number,87741,316
East New York,Black,2012,Number,78654,305
Canarsie,Black,2012,Number,126107,318
East Flatbush,Black,2012,Number,123271,317
Crown Heights South,Black,2012,Number,78544,309
Sunset Park,Black,2012,Number,4329,307
Bay Ridge,Black,2012,Number,1333,310
Borough Park,Black,2012,Number,3521,312
Flatbush/Midwood,Black,2012,Number,53303,314
Sheepshead Bay,Black,2012,Number,5124,315
Bensonhurst,Black,2012,Number,1639,311
Coney Island,Black,2012,Number,12870,313
Astoria,Black,2012,Number,11141,401
Jackson Heights,Black,2012,Number,9788,403
Flushing,Black,2012,Number,5041,407
Bayside,Black,2012,Number,2432,411
Queens Village,Black,2012,Number,113108,413
Fresh Meadows/Briarwood,Black,2012,Number,18272,408
Elmhurst/Corona,Black,2012,Number,9040,404
Rego Park/Forest Hills,Black,2012,Number,2848,406
Sunnyside/Woodside,Black,2012,Number,2009,402
Ridgewood/Glendale,Black,2012,Number,2091,405
Woodhaven,Black,2012,Number,11284,409
Jamaica/St. Albans,Black,2012,Number,144460,412
Howard Beach,Black,2012,Number,20423,410
The Rockaways,Black,2012,Number,43646,414
Bronx,Black,2012,Number,419791,36005
Brooklyn,Black,2012,Number,809821,36047
Manhattan,Black,2012,Number,207912,36061
Queens,Black,2012,Number,395583,36081
Staten Island,Black,2012,Number,44665,36085
New York City,Black,2012,Number,1877772,3651000
Riverdale,Black,2012,Percent,0.12946,208
Williamsbridge,Black,2012,Percent,0.6845,212
Throgs Neck,Black,2012,Percent,0.26948,210
Pelham Parkway,Black,2012,Percent,0.20477,211
Morrisania,Black,2012,Percent,0.30228,203
East Tremont,Black,2012,Percent,0.30228,206
Bedford Park,Black,2012,Percent,0.19047,207
University Heights,Black,2012,Percent,0.28328,205
Concourse/Highbridge,Black,2012,Percent,0.33396,204
Unionport/Soundview,Black,2012,Percent,0.29036,209
Mott Haven,Black,2012,Percent,0.26647,201
Hunts Point,Black,2012,Percent,0.26647,202
Washington Heights,Black,2012,Percent,0.0858,112
Manhattanville,Black,2012,Percent,0.23521,109
Central Harlem,Black,2012,Percent,0.61094,110
East Harlem,Black,2012,Percent,0.30241,111
Upper East Side,Black,2012,Percent,0.03055,108
Upper West Side,Black,2012,Percent,0.06782,107
Chelsea/Clinton,Black,2012,Percent,0.05218,104
Midtown Business District,Black,2012,Percent,0.05218,105
Murray Hill/Stuyvesant,Black,2012,Percent,0.03388,106
Lower East Side,Black,2012,Percent,0.06618,103
Battery Park/Tribeca,Black,2012,Percent,0.02137,101
Greenwich Village,Black,2012,Percent,0.02137,102
Tottenville,Black,2012,Percent,0.01177,503
South Beach,Black,2012,Percent,0.0335,502
St. George,Black,2012,Percent,0.22156,501
Williamsburg/Greenpoint,Black,2012,Percent,0.03696,301
Bushwick,Black,2012,Percent,0.18487,304
Bedford Stuyvesant,Black,2012,Percent,0.59837,303
Fort Greene/Brooklyn Hts,Black,2012,Percent,0.28267,302
Park Slope,Black,2012,Percent,0.08157,306
Crown Heights North,Black,2012,Percent,0.65723,308
Brownsville,Black,2012,Percent,0.7493,316
East New York,Black,2012,Percent,0.51643,305
Canarsie,Black,2012,Percent,0.61361,318
East Flatbush,Black,2012,Percent,0.88769,317
Crown Heights South,Black,2012,Percent,0.70991,309
Sunset Park,Black,2012,Percent,0.02906,307
Bay Ridge,Black,2012,Percent,0.01033,310
Borough Park,Black,2012,Percent,0.02174,312
Flatbush/Midwood,Black,2012,Percent,0.34036,314
Sheepshead Bay,Black,2012,Percent,0.03571,315
Bensonhurst,Black,2012,Percent,0.00926,311
Coney Island,Black,2012,Percent,0.12277,313
Astoria,Black,2012,Percent,0.06586,401
Jackson Heights,Black,2012,Percent,0.05482,403
Flushing,Black,2012,Percent,0.02022,407
Bayside,Black,2012,Percent,0.02027,411
Queens Village,Black,2012,Percent,0.56726,413
Fresh Meadows/Briarwood,Black,2012,Percent,0.12025,408
Elmhurst/Corona,Black,2012,Percent,0.06499,404
Rego Park/Forest Hills,Black,2012,Percent,0.02538,406
Sunnyside/Woodside,Black,2012,Percent,0.01535,402
Ridgewood/Glendale,Black,2012,Percent,0.01239,405
Woodhaven,Black,2012,Percent,0.07639,409
Jamaica/St. Albans,Black,2012,Percent,0.65173,412
Howard Beach,Black,2012,Percent,0.15596,410
The Rockaways,Black,2012,Percent,0.37837,414
Bronx,Black,2012,Percent,0.3028,36005
Brooklyn,Black,2012,Percent,0.32229,36047
Manhattan,Black,2012,Percent,0.13021,36061
Queens,Black,2012,Percent,0.17699,36081
Staten Island,Black,2012,Percent,0.09536,36085
New York City,Black,2012,Percent,0.22902,3651000
Riverdale,Black,2013,Number,13668,208
Williamsbridge,Black,2013,Number,97252,212
Throgs Neck,Black,2013,Number,31841,210
Pelham Parkway,Black,2013,Number,26759,211
Morrisania,Black,2013,Number,24010.79356,203
East Tremont,Black,2013,Number,25066.20644,206
Bedford Park,Black,2013,Number,22908,207
University Heights,Black,2013,Number,36682,205
Concourse/Highbridge,Black,2013,Number,44062,204
Unionport/Soundview,Black,2013,Number,54963,209
Mott Haven,Black,2013,Number,26926.57099,201
Hunts Point,Black,2013,Number,15375.42901,202
Washington Heights,Black,2013,Number,17061,112
Manhattanville,Black,2013,Number,29163,109
Central Harlem,Black,2013,Number,77059,110
East Harlem,Black,2013,Number,35751,111
Upper East Side,Black,2013,Number,6769,108
Upper West Side,Black,2013,Number,13276,107
Chelsea/Clinton,Black,2013,Number,5268.28209,104
Midtown Business District,Black,2013,Number,2636.71791,105
Murray Hill/Stuyvesant,Black,2013,Number,4733,106
Lower East Side,Black,2013,Number,11464,103
Battery Park/Tribeca,Black,2013,Number,1343.58853,101
Greenwich Village,Black,2013,Number,1983.41147,102
Tottenville,Black,2013,Number,1672,503
South Beach,Black,2013,Number,4465,502
St. George,Black,2013,Number,39433,501
Williamsburg/Greenpoint,Black,2013,Number,5017,301
Bushwick,Black,2013,Number,24537,304
Bedford Stuyvesant,Black,2013,Number,78994,303
Fort Greene/Brooklyn Hts,Black,2013,Number,33667,302
Park Slope,Black,2013,Number,8171,306
Crown Heights North,Black,2013,Number,78367,308
Brownsville,Black,2013,Number,91580,316
East New York,Black,2013,Number,79693,305
Canarsie,Black,2013,Number,126401,318
East Flatbush,Black,2013,Number,123480,317
Crown Heights South,Black,2013,Number,77032,309
Sunset Park,Black,2013,Number,4403,307
Bay Ridge,Black,2013,Number,1641,310
Borough Park,Black,2013,Number,3576,312
Flatbush/Midwood,Black,2013,Number,53733,314
Sheepshead Bay,Black,2013,Number,4577,315
Bensonhurst,Black,2013,Number,1780,311
Coney Island,Black,2013,Number,12528,313
Astoria,Black,2013,Number,11557,401
